Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A818340,"22601 DEIDRA DRIVE78621
(30.268249, -97.460383)",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,White/Blue Tabby,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818340
A818386,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),06/08/2020,Dog,Pit Bull/Chinese Sharpei,Red,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818386
A818389,"14912 FAQERQUIST ROAD78617
(30.137766, -97.607295)",Yes (come to the shelter),06/08/2020,Dog,Labrador Retriever Mix,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818389
A818235,"9140 NUCKOLS CROSSING ROAD
AUSTIN 78744
(30.157575, -97.769038)",No (contact for more info),06/04/2020,Dog,Pit Bull,White/Tan,Unknown,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818235
A818234,"5201 BERKMAN DRIVE
AUSTIN 78723
(30.305083, -97.69814)",Yes (come to the shelter),06/04/2020,Dog,Pit Bull,Brown/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818234
A818239,"7516 HEMINGWAY STREET
AUSTIN 78752
(30.326678, -97.68148)",No (contact for more info),06/04/2020,Dog,Labrador Retriever,White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818239
A818233,"5100 PORTMARNOCK COURT
AUSTIN 78747
(30.135783, -97.779796)",No (contact for more info),06/04/2020,Dog,Australian Cattle Dog,Tricolor,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818233
A818241,"280 DRY CREEK ROAD MANOR78653
(30.259653, -97.463333)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Blue/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818241
A818337,"AUSTIN 78702
(30.264271, -97.71608)",No (contact for more info),06/05/2020,Dog,German Shepherd Mix,Brown/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818337
A818277,"8817 MERION CIRCLE
AUSTIN 78754
(30.330763, -97.646802)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Black,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818277
A818280,"8817 MERION CIRCLE
AUSTIN 78754
(30.330763, -97.646802)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Torbie,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818280
A752753,"715 WEST SLAUGHTER LANE
AUSTIN 78748
(30.173913, -97.802457)",No (contact for more info),06/03/2020,Cat,Siamese Mix,Lynx Point,Spayed Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A752753
A818131,"11511 METRIC
AUSTIN 78758
(30.394863, -97.706386)",No (contact for more info),06/02/2020,Cat,Domestic Shorthair Mix,Calico,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818131
A818129,"3502 HILLBROOK CIRCLE
AUSTIN 78731
(30.346777, -97.758194)",No (contact for more info),06/02/2020,Dog,Maltese Mix,White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818129
A818246,"280 DRY CREEK ROAD MANOR78653
(30.259653, -97.463333)",No (contact for more info),06/04/2020,Cat,Domestic Shorthair,Blue/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818246
A818174,"116 EAST PARSONS STREET MANOR78653
(30.340949, -97.556992)",No (contact for more info),06/03/2020,Dog,Pit Bull,Blue,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818174
A818114,"5437 EL MALINO CIR78617
(30.173521, -97.628803)",Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Blue Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818114
A818175,"1702 ALAMEDA DRIVE
AUSTIN 78704
(30.244243, -97.74406)",No (contact for more info),06/03/2020,Dog,Australian Cattle Dog Mix,Blue Merle,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818175
A818172,"8512 SILVERTHORNE STREET
AUSTIN 78744",Yes (come to the shelter),06/03/2020,Dog,Pit Bull,Fawn/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818172
A818115,"5437 EL MALINO CIR78617
(30.173521, -97.628803)",Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818115
A818341,"22601 DEIDRA DRIVE78621
(30.268249, -97.460383)",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818341
A818116,"5437 EL MALINO CIR78617
(30.173521, -97.628803)",Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818116
A818393,"3405 HARPERS FERRY LN
AUSTIN 78745
(30.206056, -97.833004)",No (contact for more info),06/08/2020,Dog,Labrador Retriever Mix,White,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818393
A818395,"2206 S PLEASANT VALLEY RD
AUSTIN 78741
(30.23134, -97.725406)",No (contact for more info),06/08/2020,Cat,Domestic Shorthair,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818395
A818388,"14912 FAQERQUIST ROAD78617
(30.137766, -97.607295)",Yes (come to the shelter),06/08/2020,Dog,Labrador Retriever Mix,Black,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818388
A818130,"7200 WOOD HOLLOW DRIVE
AUSTIN 78731
(30.355028, -97.752124)",No (contact for more info),06/02/2020,Dog,Cardigan Welsh Corgi,Brown/Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818130
A818300,"HOWARD
AUSTIN 78754",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,Black,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818300
A818281,"5305 BOLM RD
AUSTIN 78721
(30.258654, -97.69122)",Yes (come to the shelter),06/04/2020,Dog,Labrador Retriever/German Shepherd,Tan/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818281
